UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
State Bank of India,@TheOfficialSBI,2021-01-04T10:22:22.000Z,"Replying to 
@AadhiKeerthan
 and 
@stripe","Please write to us at cm2it.cms@sbi.co.in, rinb.customer@sbi.co.in along with details of your concern(error screenshots), account no, contact details. Our concerned team will look into the issue.",,,,,[],https://twitter.com/TheOfficialSBI/status/1346039258503495682
Todd Tate,@toddtate,2021-01-05T16:21:02.000Z,"Replying to 
@wsavas
 and 
@muratpak","Tried to buy yesterday and the 
@stripe
 ? widget would not work at all - error no go with 
@niftygateway
. Is there a preferred browser for the transactions?",,,,2,[],https://twitter.com/toddtate/status/1346491909418541057
Uros Nikolic,@ucodealot,2021-01-06T15:35:57.000Z,"Replying to 
@dabit3
 @tailwindcss
 and 
@stripe","It’s insane how fast it is when it’s statically generated
I’m publishing today landing page for 
@FeedbackBooster
 it’s build with Next and deployed with serverless on AWS.
Friend doing the marketing for it thought it was some bug bc it was that fast ",😂,,,3,[],https://twitter.com/ucodealot/status/1346842952170139649
Nader Dabit,@dabit3,2021-01-06T15:23:18.000Z,"Replying to 
@desaivivek50331
 @tailwindcss
 and 
@stripe","I just noticed this bug in Mobile too about 30 minutes ago, I think it has something to do with an update I made recently. Will be fixing this soon!",,,,1,[],https://twitter.com/dabit3/status/1346839769066696705
Sweet Berry #EndSARS,@actor_aina,2021-01-06T06:46:39.000Z,"Replying to 
@paystack
 and 
@stripe","Good morning please I have been trying to pay money online via this medium since on the 2nd of January this year it keeps telling me unknown error and this is the medium have been using for more than 6months
Attached is the page",,1,,,['https://pbs.twimg.com/media/ErB5YIPXIAEs--E?format=png&name=900x900'],https://twitter.com/actor_aina/status/1346709748201238529
Stripe,@stripe,2021-01-07T10:33:04.000Z,"Replying to 
@rhaksw","Tools that test for responses from https://js.stripe.com (which purposefully returns a 404) may erroneously report downtime. Can you try including it in your system, as outlined in our docs?[0] If you're still hitting an error, let us know! 

[0] https://stripe.com/docs/js/including…",,1,,,[],https://twitter.com/stripe/status/1347129114818457600
Zaff,@FaisalSidd_,2021-01-11T04:24:42.000Z,"@stripe
 I need help for my friends account verification. She's able to integrate the Stripe API on her website but it's not accepting payments from customers. Also her Stripe dashboard has an error ""your business isn't eligible"".
Help!",,,1,,,[],https://twitter.com/FaisalSidd_/status/1348485963715121152
Loz Calver,@kinglozzer,2021-01-14T23:03:10.000Z,"Online shopping tonight, got redirected to http://securesuite.co.uk for 3D Secure. No explanation who they are, whois for the domain is blank and home page is an error page (with an HTTP status code of 719, wtf?!). Turns out it’s legit... I just wish everyone would use 
@stripe
 ",,😔,,,,[],https://twitter.com/kinglozzer/status/1349854600392794112
stephen,@Stephen_Corwin,2021-01-15T22:02:56.000Z,"Replying to 
@Stephen_Corwin
 and 
@stripe","I brought this up via support at the beginning of December. It took a while, but it was finally identified as a ""known"" bug with a suggested workaround. Unfortunately the workaround failed, and every time I've reached back out, I get a new person who has no idea what's going on.",,1,,,[],https://twitter.com/Stephen_Corwin/status/1350201829380993026
Ahmed Azzabi,@AhmedArcan,2021-01-16T16:44:33.000Z,"Replying to 
@davidfowl","Almost all of FAANG have the same process, but now with leetcode some people are just memorizing answers, so you can't really assess their problem solving skills,  in the other hand, 
@stripe
 interview style looks good especially finding the bug, you can learn a lot about candidat",,1,,1,[],https://twitter.com/AhmedArcan/status/1350484092241010689
