UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Discover Live,@discoverlive_,2020-04-01T17:10:17.000Z,"This is so heartfelt! Yes, be more like Sandra and wash your hands! 

http://Discover.live / #discoverlive #WashYourHands
 #COVID19 #seniorcare #SeniorCitizens","Quote Tweet
Rex Chapman
@RexChapman
 · Apr 1, 2020
Sandra the orangutang started washing her hands because she saw all the zookeepers doing it repeatedly during the COVID-19 crisis.

Wash your hands. 
Be more like Sandra.
 https://twitter.com/CucumberTonic/status/1245339561544343553/video/1…",🌎 ❤ 🧼 🌎,,3,6,['https://pbs.twimg.com/profile_images/1055264484745494530/QLX6B5o9_mini.jpg'],https://twitter.com/discoverlive_/status/1245398088266575874
Steve Piccininni,@StevePiccininni,2020-04-01T17:37:37.000Z,COVID 19 in pictures — Parks and Rec: a thread /1,,,2,10,19,"['https://pbs.twimg.com/media/EUiRLK2XkAUqRga?format=jpg&name=360x360', 'https://pbs.twimg.com/media/EUiRLLiXYAQNs1M?format=jpg&name=360x360', 'https://pbs.twimg.com/media/EUiRLK_WAAEY7b1?format=jpg&name=360x360', 'https://pbs.twimg.com/media/EUiRLNPXkAEVQB7?format=jpg&name=360x360']",https://twitter.com/StevePiccininni/status/1245404969899040778
Kinga Laura Eliasz,@k_for_kinga,2020-04-01T00:27:27.000Z,"Organized Chaos — working alongside colleagues, med students, scientists to reach goal of assembling 50,000 Face Shields for our friends and colleagues in Emergency Medicine and other frontline healthcare workers #NewYorkTough #NewYorkCity #coronavirus #COVID #LookForTheHelpers",,,2,2,13,"['https://pbs.twimg.com/media/EUelbdOXYAYtPS5?format=jpg&name=360x360', 'https://pbs.twimg.com/media/EUelbdOXgAECk3Y?format=jpg&name=360x360', 'https://pbs.twimg.com/media/EUelbdPXsAAcuOE?format=jpg&name=360x360', 'https://pbs.twimg.com/media/EUelbdPWAAATziC?format=jpg&name=360x360']",https://twitter.com/k_for_kinga/status/1245145719138390016
"Gyula MIKE JD., LL.M.",@MikeGyula,2020-04-01T04:44:25.000Z,"Hungary
 is among the co-sponsors of the online draft res. on #COVID19. It emphasizes the need for full respect for #HumanRights & highlights that there is no place for any form of #discrimination in the response to the pandemic. https://undocs.org/en/A/74/L.52",,,,2,6,"['https://pbs.twimg.com/media/EUfgMSVWAAAfkIZ?format=jpg&name=360x360', 'https://pbs.twimg.com/media/EUfgPe0XsAEkRUp?format=jpg&name=360x360', 'https://pbs.twimg.com/media/EUfgPJFWsAYdXR5?format=jpg&name=360x360', 'https://pbs.twimg.com/media/EUfgPviXgAQwRis?format=jpg&name=360x360']",https://twitter.com/MikeGyula/status/1245210385969483777
Eugene Resnick,@EugeneResnick,2020-04-01T23:05:42.000Z,"A friend of mine in NYC had #COVID19. After he recovered, he wanted to donate his blood for medical research. He was denied b/c he’s gay. Amid a public health crisis and national blood shortage, this is ridiculous. 
@tfitzsimons
 @Sabritree
 #EndTheBloodBan","Doctors can't use COVID-19 antibodies from gay men or anyone taking PrEP
Health officials say they have to turn away potential donors even if they have valuable coronavirus antibodies that could help save the seriously ill.
nbcnews.com",,1,1,5,['https://pbs.twimg.com/card_img/1365551070064304129/T4x7tHZf?format=jpg&name=small'],https://twitter.com/EugeneResnick/status/1245487534290984961
J.P. Chan,@jpchan,2020-04-01T21:37:21.000Z,"No cure yet for COVID-19, but strong and frequent doses of NYC attitude definitely couldn’t hurt.",,,,13,46,['https://pbs.twimg.com/media/EUjIFU2XkAUf2zJ?format=jpg&name=small'],https://twitter.com/jpchan/status/1245465298070839299
Jian Ren 任健,@JianRen12,2020-04-01T19:05:32.000Z,"#twitterhistorians and Covid19: I never thought I would rely on my personal hard-copy collection of primary sources at home to write a paper. This is a Chinese newspaper published in Havana in 1964, somehow smuggled to China, and now on my desk in New Jersey.",,,,,11,['https://pbs.twimg.com/media/EUilVWbX0AACFP7?format=jpg&name=small'],https://twitter.com/JianRen12/status/1245427091849519107
Jess Schwartz,@DPT2Go,2020-04-01T20:43:34.000Z,"Today, I cried.

I’ve cried for my patients on hospice who are suffering alone, but together.

I’ve cried for our staff who have become like family the last decade keeping them safe as boots on the ground. 

I cried because we’re all exhausted & can’t get enough PPE

#COVID19",,🧠 🎙 🗽,4,5,28,[],https://twitter.com/DPT2Go/status/1245451762686885893
brownroundboi,@brownroundboi,2020-04-01T18:13:11.000Z,"I miss my girlfriend. We're not able to be in same space rn bc #covid19. Today I went to grocery store & got no frozen meals, sweets, chips, cookies. I just got kale & vegetables.

What am I doing without proper snacks? My gf would not let this happen. ",,😖 😭 🥴,2,,40,[],https://twitter.com/brownroundboi/status/1245413918375321611
Mount Sinai Health System,@MountSinaiNYC,2020-04-01T22:25:23.000Z,"Our first patient being treated in our #hospital tent in #CentralPark.

#COVID19 #Coronavirus #HealthcareHeroes",,,299,796,1.6K,"['https://pbs.twimg.com/media/EUjTD9-XYAIf6mH?format=jpg&name=small', 'https://pbs.twimg.com/media/EUjTD-OWsAARhQS?format=jpg&name=small']",https://twitter.com/MountSinaiNYC/status/1245477388101836800
MRS HIG RN Karma is here for the GOP,@hig68,2020-04-02T19:02:05.000Z,"#COVID19Pandemic

The organization I work for is divided into teams by counties.. 

I found out today a substance counselor on another team has passed after contracting COVID-19

It will effect every one of us one way or another...

#OneVoice1 
#wtpTEAM",GIF,🌊,14,43,52,['https://pbs.twimg.com/tweet_video_thumb/EUnuIuRWAAMR5uZ.jpg'],https://twitter.com/hig68/status/1245788611045449728
YOUNG TINA SNOW,@zoe_ozo,2020-04-02T22:52:27.000Z,My friend just lost his father to COVID-19 and is trying to raise funds for his family. Please SHARE and DONATE if you can!!!!,"Help Support my Family After The Loss of my Father, organized by Mindy Aracena
Hi, my name is Jose Aracena. I’m 18 years old and live in Corona, Que… Mindy Aracena needs your support for Help Support my Family After The Loss of my Father
gofundme.com",,1,31,31,['https://pbs.twimg.com/card_img/1366744638233567234/iij3ZkzA?format=jpg&name=small'],https://twitter.com/zoe_ozo/status/1245846585616957440
Larry Reiff,@Mrreiff,2020-04-02T21:02:16.000Z,Had my students compare this map of COVID cases in NYC with the median incomes of the zip codes.  They quickly discovered that there is correlation between social class and infection rates. #TeachingDuringCoronavirus #DigitalCuriosity #DigitalLiteracy,,,5,23,61,['https://pbs.twimg.com/media/EUoJpLjX0AIJSYD?format=jpg&name=small'],https://twitter.com/Mrreiff/status/1245818855714435072
Sindhura Kolli MD,@SindhuraKolliMD,2020-04-02T22:44:29.000Z,"Finally turned the corner this week in recovering from #Covid19 and will be starting on the inpatient side next week 
@nyulangone
 #fromteleclinictothefloors",,,4,2,21,[],https://twitter.com/SindhuraKolliMD/status/1245844582878728192
"Nasir
Uddin",@MrNaassir,2020-04-02T22:12:52.000Z,"• There are more than 1,000,000 coronavirus cases and 51,000 deaths worldwide.
• The United States leads the world with more than 234,000 confirmed COVID-19 cases. More than 5,600 Americans have died from the virus.
• U.S. jobless claims soared to record 6.65 million.",,💕,1,5,6,['https://pbs.twimg.com/media/EUoZzg-XgAA403P?format=jpg&name=medium'],https://twitter.com/MrNaassir/status/1245836624375599104
Columbia Emergency Medicine,@ColumbiaEM,2020-04-02T20:59:28.000Z,"We are SO grateful for all of the amazing donations of masks, goggles, food deliveries, and more! We will all get through this together!! 
#COVID19",,❤,1,19,63,['https://pbs.twimg.com/media/EUoJAD7UwAAPl3Q?format=jpg&name=small'],https://twitter.com/ColumbiaEM/status/1245818151968727040
Joan Halpern,@JoanHalpern,2020-04-02T14:44:34.000Z,"Thank you 
@FDNY
 for applauding our Amazing Team! #heroesthankingheroes #NYPHeroes #COVID19 #gratitude #bestteam #amazingthingsarehappening","Quote Tweet
NewYork-Presbyterian
@nyphospital
 · Apr 2, 2020
Selfless heroism is at the heart of every #FirstResponder. This generosity was on full display at #NYPLowerManhattan, where the brave men & women of @FDNY showed their appreciation for our #NYPHeroes. We salute #NewYorksBravest as they honor our fight against #COVID19.
0:32
606.9K views",,,2,27,['https://pbs.twimg.com/profile_images/1012334034867941376/Akxo5mgl_mini.jpg'],https://twitter.com/JoanHalpern/status/1245723805215002624
Juan Mejia,@J_MMejia,2020-04-02T00:42:57.000Z,"Our #FDNY partners showed up to thank our NYP/ Lower Manhattan Hospital #HealthcareHeroes this evening. Heroes thanking heroes. 
@nyphospital
 #COVID #NYC 
@FDNY
   #NYPHeroes #ClapBecauseWeCare",,,13,81,282,['https://pbs.twimg.com/ext_tw_video_thumb/1245511783365959680/pu/img/HOreUkvjOsyUVMGX.jpg'],https://twitter.com/J_MMejia/status/1245512008058970112
Sol,@katxxv,2020-04-02T01:09:04.000Z,"Lost my uncle to COVID19. Now his two daughters and wife are positive/at risk.

Can you guys please just stay home?",,,5,4,23,[],https://twitter.com/katxxv/status/1245518580860563457
Mike Lydon,@MikeLydon,2020-04-02T16:35:08.000Z,"Should we follow their advice and all just send thoughts and prayers to the Bible Belt when #COVID19 picks up steam there? Seriously, this is a total failure of leadership and policy playing out in slow motion and it could really damage our country further https://nytimes.com/interactive/2020/04/02/us/coronavirus-social-distancing.html?referringSource=articleShare…",,,2,4,6,['https://pbs.twimg.com/media/EUnMgGjWoAUq-u3?format=jpg&name=small'],https://twitter.com/MikeLydon/status/1245751629837713410
Rakan Ghanameh,@rakanghanamehh,2020-04-03T22:07:45.000Z,I am qualified to donate COVID-19 antibodies to those in critical situation. I hope this actually works and we’ll be able to save lives ,,,2,,66,[],https://twitter.com/rakanghanamehh/status/1246197724980133890
CAMSQ355,@CAMS355,2020-04-03T00:43:02.000Z,CAMS babies doing the #camscaughtya challenge #readingisfun #homeschool #covid19 #letsread #remotelearning,,,,2,7,"['https://pbs.twimg.com/media/EUo8LHcXQAc25YW?format=jpg&name=360x360', 'https://pbs.twimg.com/media/EUo8LHZWoAULlxj?format=jpg&name=small']",https://twitter.com/CAMS355/status/1245874416594141184
emma schwartz,@heyemmahey,2020-04-03T12:03:59.000Z,"I know a guy who was COVID-19 positive & is now COVID-19 negative - this is amazing. Now his blood is gold & his plasma is filled with tiny angels. He’s going to donate it today to help cure other sick ppl. 

The most shocking part of this mostly true story: dude got TWO tests!",,,,,20,[],https://twitter.com/heyemmahey/status/1246045783205568513
MRS HIG RN Karma is here for the GOP,@hig68,2020-04-03T20:00:30.000Z,"Mississippi.. here is the truth..

Cindy Hyde-Smith is a flunky for Trump

She acknowledged COVID-19 existed after Trump finally stopped calling it a hoax

You deserve a Senator who is an independent thinker and believes facts!

You deserve 
@MikeEspyMS
 

#wtpSenate
#OneVoice1",,🌊,9,103,129,['https://pbs.twimg.com/media/EUtFGQ9WoAQkwmI?format=jpg&name=small'],https://twitter.com/hig68/status/1246165700525375489
Alex Hogan,@AlexHoganTV,2020-04-03T21:22:06.000Z,Emergency alerts calling for more healthcare workers in the epicenter of the outbreak. #COVID19 #NewYorkCity #pandemic,,,7,8,44,['https://pbs.twimg.com/media/EUtXxunWsAEKQgK?format=jpg&name=small'],https://twitter.com/AlexHoganTV/status/1246186237481934848
Lucy,@LucySafi,2020-04-03T01:00:52.000Z,“Storms don’t last forever”. Thank you for the inspirational words. We are all in this together #COVID19,,,,,11,['https://pbs.twimg.com/media/EUpAQV0WoAYBlyg?format=jpg&name=small'],https://twitter.com/LucySafi/status/1245878901403942917
Public School 107X,@PS107X,2020-04-03T10:50:31.000Z,"Good Morning #remotelearning #COVID19 will not win!
@PS107X
 @District8Supt",,,1,3,9,['https://pbs.twimg.com/media/EUrHNxhUUAo5h2w?format=jpg&name=900x900'],https://twitter.com/PS107X/status/1246027292536692736
swtmysteryy,@swtmysteryy,2020-04-03T14:33:50.000Z,"Here’s some positivity. Another success story! My 5 south team discharging a patient after battling COVID, to return home to their loved ones. In between the anxiety and despair, there’s tons of hope as well. It just takes faith, hope, prayer, healing hands and a caring heart","0:07
472 views",💉,3,11,26,[],https://twitter.com/swtmysteryy/status/1246083494146715651
