UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Baja,@BajaGryphon,2021-01-01T23:48:41.000Z,"Replying to 
@SilverEagleDev","Yeah I don't use door dash anymore had too many instances of people eating my food.

Using grubhub seems to have less margin of error",,,,,[],https://twitter.com/BajaGryphon/status/1345155013430169602
,@emptycaprisun0,2021-01-01T23:19:59.000Z,"Ok Im slightly hallucinating a bit, and I think this issue isnt that ive been staring at my phone since noon, but that my body is punishing me for existence. I will now attempt to fix it by putting another charge on my cc.  More doordAsh becauze im steongee than mh weak brain",,⛄ ❄,,,,[],https://twitter.com/emptycaprisun0/status/1345147789152555011
Krkk,@KrisLiFitFit,2021-01-01T22:52:13.000Z,"Replying to 
@KrisLiFitFit
 @demonhunter023
 and 3 others","Also the issue DoorDash has is order density, if you have 5 next door orders, it will take almost the same amount of time to deliver. In China most ppl live in condominium instead of houses, so would be say 20+ households in a single building.",,1,,,[],https://twitter.com/KrisLiFitFit/status/1345140801840402434
Tiffany Monson,@TiffanyMonson16,2021-01-01T20:59:29.000Z,"Replying to 
@devkeys22
 and 
@DoorDash",I do know that there was/is a glitch in the system and every customer that tried to order across the US all had the same error that said they were too far away or outside the delivery zone. ,,1,,,[],https://twitter.com/TiffanyMonson16/status/1345112431593312256
alisha,@alisha86595867,2021-01-01T18:54:01.000Z,"@DoorDash_Help
 I get error saying “Error: Your payment was blocked by fraud check.”",,,,,,[],https://twitter.com/alisha86595867/status/1345080859066585091
Tamper-Free Delivery,@TamperFree,2021-01-01T18:37:11.000Z,"Let’s your customers receive Bug free smoothies. You don’t want your customers assume driver sipped on their drinks. What do you think 
@Grubhub
 @Postmates
 @UberEats
 @DoorDash
 @Starbucks
 @McDonalds",,,,,,"['https://pbs.twimg.com/media/EqqsDzlUwAAIjMX?format=jpg&name=small', 'https://pbs.twimg.com/media/EqqsDztVkAADELb?format=jpg&name=small', 'https://pbs.twimg.com/media/EqqsDzlVoAAV1f1?format=jpg&name=360x360', 'https://pbs.twimg.com/media/EqqsDztVoAA90Ei?format=jpg&name=360x360']",https://twitter.com/TamperFree/status/1345076623352102914
Charles Penfold,@charlespenfold,2021-01-01T10:58:07.000Z,"@DoorDash
 @DoorDash_Help
 I just spent over two hours waiting for an $80 order and the driver went home with my meal and never delivered it. Customer service agent I contacted ended the session without resolving the issue. NOT GOOD ENOUGH. Terrible service.",,,1,,,[],https://twitter.com/charlespenfold/status/1344961092892561409
Ashley,@mamatomarianaa,2021-01-01T04:56:44.000Z,"Replying to 
@MattsCreative1
 and 
@DoorDash_Help",amen! this girl was so unprofessional and i’ve used other ordering apps no issue.. now i’m out $40 from dinner bc she was ridiculous,🎀,1,,1,[],https://twitter.com/mamatomarianaa/status/1344870148637937665
Nikki Belzano,@NikkiBelzano,2021-01-01T04:01:50.000Z,"Replying to 
@Kirbytalksalot
 @LAKings
 and 3 others",Do you work for door dash and grub hub? sounds like it. Postmates never has an issue here ,,,,,[],https://twitter.com/NikkiBelzano/status/1344856330784309250
Jay Crave,@Crave42,2021-01-01T03:53:23.000Z,"Replying to 
@ShannonZKiller
 and 
@UberEats",Door Dash for the win every time. Never had an issue they didn't make right and then some.,,,,,[],https://twitter.com/Crave42/status/1344854206516232192
Amanda Herling,@alherling,2021-01-01T03:20:18.000Z,"@DoorDash_Help
 I ordered before the closing time on the app, had my order confirmed, and then had it canceled because the restaurant is closed...what?! second doordash issue in one day ",,,1,,,['https://pbs.twimg.com/media/EqnaM2RXcAE_KgX?format=jpg&name=900x900'],https://twitter.com/alherling/status/1344845882026577921
DoorDash,@DoorDash,2021-01-01T02:43:09.000Z,"Replying to 
@murbs_2010","Hi 
@murbs_2010
! I'm so sorry that your order's whereabouts are up in the air. Let's check on its status asap! Please Chat via the link below to help us resolve your issue: https://help.doordash.com/s/?language=en_US…",,,,,[],https://twitter.com/DoorDash/status/1344836532566437891
Michaela,@muhkayluhnay,2021-01-01T02:27:33.000Z,"hello all my boyfriend and i just got 
BaKeD
 and due to a doordash error collectively ordered $120 worth of food.",,✨ ✨,1,,,[],https://twitter.com/muhkayluhnay/status/1344832605817098241
DoorDash,@DoorDash,2021-01-01T00:38:41.000Z,"Replying to 
@JennaCBradley","Hi 
@JennaCBradley
! I'm so sorry that there's a delay. Let's figure out what's up! Please Chat via the link below to help us resolve your issue: https://help.doordash.com/s/?language=en_US…",,,,,[],https://twitter.com/DoorDash/status/1344805207256018944
(((Texy Lefty))) #MadamVicePresident,@TexyLefty,2021-01-01T00:06:26.000Z,"Hey 
@DoorDash
 I’m literally getting this error message for every single restaurant except for The Cheesecake Factory. I would think this would be a big night for you if you could fix your issues. (This restaurant is 10 min from me.)",,😷,1,,,['https://pbs.twimg.com/media/Eqmt1AbWMAI8XP5?format=jpg&name=medium'],https://twitter.com/TexyLefty/status/1344797093106487297
Carlo B,@DaNinersDem,2021-01-02T23:44:15.000Z,"Again... Someone, somewhere out there is enjoying my food from 
@PokeHouseUSA
 they never delivered. I ain't mad, just wanna know what happened to it. Hope you enjoyed it at least! Thanks to 
@DoorDash
 for solving the issue asap!",,,,,,[],https://twitter.com/DaNinersDem/status/1345516286260854784
Jen,@athena4lynn,2021-01-02T23:01:22.000Z,"@DoorDash_Help
 I am unable to track orders. I get an error screen when following the provided links. Who can I talk to to fix this? I’ve reached out here a couple of times already.",,🐶,,,,[],https://twitter.com/athena4lynn/status/1345505491305246728
Brissia Jiménez,@BDoodles,2021-01-02T20:52:27.000Z,"Hey 
@DoorDash_Help
 I closed my account weeks ago and I never got that call back to get my never delivered food credit. Could you please fix the issue? 
@DoorDash",,,2,1,2,[],https://twitter.com/BDoodles/status/1345473048145629184
