UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Emmanuel Abraham,@ehimaimusic,2021-01-01T03:13:21.000Z,"Hello, friends, GRAMMARLY is the best grammar error checker and #1 writing App, is worth having in your toolbox, it is #FREE to download. Install now for FREE!
Get it here instantly>>> https://ehiflex.blogspot.com/2020/10/grammarly-for-everyone-world-1writting.html…
#free #grammarly #education #college #student #university #errors #app",,,,1,,[],https://twitter.com/ehimaimusic/status/1344844133026959360
Drew Ringo,@drew_ringo,2021-01-02T22:13:52.000Z,"Replying to 
@BlueFinRPG",I ran her blog through Grammarly. She has an issue.,,2,,,['https://pbs.twimg.com/media/EqwnJ3kVEAE6ywp?format=jpg&name=small'],https://twitter.com/drew_ringo/status/1345493539623321600
Abiola Erinfolami-Monetize Your brain,@TheCoachAbiola,2021-01-02T16:50:28.000Z,"I will give you some apps you get acquainted with in the year 2021 to make your work more fun to do..

1 Canva - You need graphics that will make your brand and offer stand out. With this app, you can create tons of them ..

2 Grammarly - To make error free content..",,,1,,1,[],https://twitter.com/TheCoachAbiola/status/1345412151519940608
Sayako Hoshimiya,@cute_sayako,2021-01-02T16:30:32.000Z,"https://youtube.com/watch?v=u5wtoH0_KuA…

This is why I love AI-based technologies but at the same time hate AI researches:
They never explain anything; there's only data and experiments.

(While I was typing this message, a bug of 
@Grammarly
 web occurred and I think that's also an AI's fault.","This AI Does Nothing In Games…And Still Wins!
 Check out Weights & Biases and sign up for a free demo here: https://www.wandb.com/papers Their instrumentation for this paper is available here:https://a...
youtube.com",❤,1,,,['https://pbs.twimg.com/card_img/1365493552004751362/Bdv7f-zp?format=jpg&name=240x240'],https://twitter.com/cute_sayako/status/1345407137309020160
Virtual Pen,@virtualpenva,2021-01-02T13:50:03.000Z,"Name one tool you use in your business that you believe you absolutely can’t live without 

For me it is Grammarly. It is a great tool that aids me in writing error free content for social media and blog posts. 
#businesstools #businessownertips #tooltipfriday #businesshacks",,,,,,['https://pbs.twimg.com/media/Equz7fLXMAEeV68?format=jpg&name=small'],https://twitter.com/virtualpenva/status/1345366750758641664
Jennifer Smith,@jynthea_twitch,2021-01-03T17:16:33.000Z,"@Grammarly
 So um how long do I have before my sub gets canceled if my payment is declined? Jw because I am having an issue rn but will have the money in about 2 weeks.",,,1,,,[],https://twitter.com/jynthea_twitch/status/1345781105442529281
Thomas Lee,@doctordns,2021-01-03T14:54:54.000Z,"Yup. Checking with Get-Uptime, and this host has been up for 4.9 days. As previously reported.
Filed an issue, but Feedback cannot create a short link, but here is te longe one
feedback-hub:?contextid=156&feedbackid=7c5f5b9c-e6d7-49a9-92dc-127061f7f060&form=1&src=1",,,,,,[],https://twitter.com/doctordns/status/1345745459097309184
Thomas Lee,@doctordns,2021-01-03T14:45:31.000Z,"Using #WindowsInsiders build 21227. It must be time for a reboot to get apps to work properly. Today it is 
@Grammarly
 which does not work at all inside Word (and issue filed). 
@Snagit
 (an exceptional problem) is very slow. And GIthub issues does not accept a drag/drop.",,,3,,,[],https://twitter.com/doctordns/status/1345743095783108608
Elise,@elisefrr,2021-01-03T13:43:06.000Z,"I've installed that Grammarly extension, and it makes every tweet a fun grammar problem in which it tells me I have an issue but not what the issue is.",,✨,1,,,[],https://twitter.com/elisefrr/status/1345727389993721859
Benjamin Kirtley,@BenjaminKirtley,2021-01-03T04:53:40.000Z,Grammarly didn't catch my error because the alternative is a real word. Oops.,,,,,1,[],https://twitter.com/BenjaminKirtley/status/1345594153170829312
Riccardo Tommasini,@rictomm,2021-01-04T23:38:03.000Z,"I would like to praise 
@Grammarly
’s customer service that kindle solved my issue with the renewal although I was clearly my mistake!
#thank",,,1,,3,[],https://twitter.com/rictomm/status/1346239498519248897
