UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Matthew,@MatthewTelles,2021-01-01T18:20:17.000Z,"Ripoff Report
@Instacart
 bug STILL withholding contractual HEAVY PAY on large percentage of orders.

Customers are paying it.
Shoppers aren't seeing it. 
$2

Get em. 

Also clearly subsidizing pay with high tips.",,🛒 🚚 💪,,2,,['https://pbs.twimg.com/media/EqqoMA6XAAcAR3a?format=jpg&name=small'],https://twitter.com/MatthewTelles/status/1345072366850871296
Instacart,@Instacart,2021-01-01T18:01:38.000Z,"Replying to 
@hildakhanoom","Thank you for allowing us to refund your order issue. We apologize for the level of service you received, but we appreciate the opportunity to make things right. If you have any other concerns or questions, feel free to reach out to us. We're ""cherry"" 
 happy to help! —Bloom",🍒,2,,,[],https://twitter.com/Instacart/status/1345067674976583681
Mick,@TheMickNY,2021-01-01T14:50:08.000Z,"@Instacart
, thank you so much for your prompt response and working with me to resolve the issue.

I am a long time, and weekly, customer  and look forward to future orders.

Thank you!",,,1,,,[],https://twitter.com/TheMickNY/status/1345019484155895808
Nadesh,@Nadesh13,2021-01-01T14:06:17.000Z,"Another issue with 
@Instacart
 is, they have ZERO quality control, so you could go into their APP find everything you want, only for the shopper to text you, requesting alternatives. This business is WORST than a Street FRYFISH shop during Lent
$225.00 for $12.00",,🤣 😂 🤣 🤣 😂 🥲 😂,,,1,[],https://twitter.com/Nadesh13/status/1345008446693912577
Mick,@TheMickNY,2021-01-01T13:08:38.000Z,"@Instacart
 has ignored my issue for over a week. I've submitted over 5 reports and a representative won't contact me.",,,2,,,[],https://twitter.com/TheMickNY/status/1344993938965409792
@Will_Gragido,@Will_Gragido,2021-01-01T00:25:24.000Z,"@Instacart
, I'm now on hold due to your web app not allowing me to report the issue and process a refund...This is quite disappointing.",,,1,,,[],https://twitter.com/eg0sum/status/1344801865079382026
@Will_Gragido,@Will_Gragido,2021-01-01T00:21:34.000Z,"@Instacart
 I am trying to report an issue with an order that was delivered today -- missing items and your site won't seem to want to play ball. I'm irritated as there is every indication that the items were delivered in your app however, the items in question are not here.",,,1,,,[],https://twitter.com/eg0sum/status/1344800898602700806
Instacart,@Instacart,2021-01-02T22:48:35.000Z,"Replying to 
@wizzdarlo","Thank you for giving us a chance to solve this issue for you. If you need any further assistance, please don't hesitate to ask. We're always ""cherry"" 
 happy to help! —Bloom",🍒,1,,,[],https://twitter.com/Instacart/status/1345502276383879176
Instacart,@Instacart,2021-01-02T21:04:25.000Z,"Replying to 
@14GBB","Thank you for allowing us to correct your order issue. If you need anything else, please don't hesitate to reach out. We're ""cherry"" 
 happy to help! —Bloom",🍒,,,1,[],https://twitter.com/Instacart/status/1345476062092910594
Instacart,@Instacart,2021-01-02T20:55:56.000Z,"Replying to 
@BeardBellyBlitz",Hi there! If you have experienced an issue with an order please send us a DM with more information. We'd be happy to look into this further. - Buffy,,,,,[],https://twitter.com/Instacart/status/1345473925912948740
Nurses Educate,@Nurses_Educate,2021-01-02T20:10:28.000Z,"@PublixHelps
 I have been having groceries delivered via 
@Instacart
  for months now. I tried to let them know but they have not done anything to fix this issue. Suddenly the link to order deli meats does not work. I can order deli fine from other stores such as BJ's but not Publix",,,1,,,[],https://twitter.com/Nurses_Educate/status/1345462483528671233
n_pedersen,@mbDunningKruger,2021-01-02T08:57:38.000Z,"Replying to 
@davidalim
 @worldschanging
 and 
@SenatorRomney","the Trump Administration failed from the start by lying to hide the seriousness of the illness, to failing to allow the CDC/FDA to issue nationwide guidelines to serve as a model for states, to the absence of a logistics plan for vaccines.

Instacart workers are more organized.",,,,,[],https://twitter.com/mbDunningKruger/status/1345293159090118656
Blake Jarvis,@JakeBlarvis,2021-01-03T22:01:20.000Z,"I have never ordered groceries online or with 
@Instacart
 and not had an issue. Bro my butternut squash is 5 hours late!!",,,1,,,[],https://twitter.com/JakeBlarvis/status/1345852773976350721
"Russ McWear_a_Mask Wood, CSM",@Russ_M_Wood,2021-01-03T21:44:04.000Z,"Replying to 
@CinemaGoddess
 and 
@Instacart",I had a similar issue back in the summer with a BJs order. Annoying.,,1,,1,[],https://twitter.com/Russ_M_Wood/status/1345848428551659523
