UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
NetSuite Pros,@NetSuitePros,2021-01-18T10:28:46.000Z,New question asked on NetSuite Professionals - Error when send email in suite script 2.0  http://zpr.io/HQfii,,,,,,[],https://twitter.com/NetSuitePros/status/1351114302904823815
Vincent Villamil,@vdvillamil,2021-01-21T22:41:32.000Z,"NetSuite: An efficient warehouse is an automated warehouse, but that doesn’t mean you lose all human touch. Warehouse automation turns #technology into your best friend, helping minimize human error while improving operations: http://social.ora.cl/6019Hwz6Z #WarehouseManagement","Warehouse Automation: The How, When & Why
Dive into the benefits of automating your warehouse, why it’s worth it, and the challenges you may face in the process.
netsuite.com",,,,,['https://pbs.twimg.com/card_img/1367213255282757639/oQPu6KZN?format=jpg&name=small'],https://twitter.com/vdvillamil/status/1352385869525745664
NetSuite,@NetSuite,2021-01-21T22:09:55.000Z,"An efficient warehouse is an automated warehouse, but that doesn’t mean you lose all human touch. Warehouse automation turns #technology into your best friend, helping minimize human error while improving operations: http://social.ora.cl/6019Hwz6Z #WarehouseManagement","Warehouse Automation: The How, When & Why
Dive into the benefits of automating your warehouse, why it’s worth it, and the challenges you may face in the process.
netsuite.com",,,4,3,['https://pbs.twimg.com/card_img/1367213255282757639/oQPu6KZN?format=jpg&name=small'],https://twitter.com/NetSuite/status/1352377912863969283
NetScore Technologies,@NetScoreTech,2021-01-21T12:34:20.000Z,"#NetScore #JetConnector for #NetSuite enables you to manage orders and stock levels avoiding the issue of manually keeping your Jet and NetSuite accounts synchronized. Visit: https://bit.ly/3p3ohWc

#Jetconnector #Jetconnectorintergrations #marketplaceconnectors #marketplaces",,,,,,['https://pbs.twimg.com/media/EsQYyZpUwAE7JW5?format=jpg&name=small'],https://twitter.com/NetScoreTech/status/1352233063959339012
"James Malloy, Font Opinion Haver",@AndTheMeltdowns,2021-01-26T13:55:37.000Z,"Holy crap. I just solved a Netsuite issue I've been trying to figure out for months.

The SuiteAnswers guide just DOES NOT talk about a second CSV you need to upload AT ALL.",,,1,,3,[],https://twitter.com/AndTheMeltdowns/status/1354065457519722500
n o w y,@Nooowwy,2021-01-28T23:09:30.000Z,"Hayup na celigo! Ipapasa na naman sa netsuite side yung issue, makulet script nyo nga nagcaucause ng slowness ngaa!!!! Ang kukulet nyoo!!!",,🥀,,,,[],https://twitter.com/Nooowwy/status/1354929625349021698
NetSuite Pros,@NetSuitePros,2021-01-31T16:53:53.000Z,New question asked on NetSuite Professionals - Any solution for this Error?  http://zpr.io/RnJmZ,,,,,,[],https://twitter.com/NetSuitePros/status/1355922259781758981
Rachel Groves,@rachel_groves,2021-02-16T21:28:14.000Z,#NetSuite tips & tricks to help you save time and prevent error!,"Quote Tweet
Protelo, Inc. | 5-Star NetSuite Partner
@protelo
 · Feb 15
Learn how to format a file for a successful import. Save time, prevent error, update numerous records at one time and avoid manual data entry with the #CSV import process. https://hubs.ly/H0GDZ4x0 #dataimport #services #tipsandtricks #oraclenetsuite",,,,3,"['https://pbs.twimg.com/profile_images/1251147372454768644/Yh8PWYyv_mini.png', 'https://pbs.twimg.com/media/EuTBaRGXEAYtf8z?format=jpg&name=small']",https://twitter.com/rachel_groves/status/1361789507733889025
Gay Rich Tia,@breedaddy_mp3,2021-02-18T14:46:36.000Z,"What are some tools you use daily for work? 

Here are mine:
Slack (Communication)
Jira (Project Management)
BugHerd (bug reporting) 
NetSuite (Project Budget Status)
Zoom (Meetings)",,,6,11,20,[],https://twitter.com/breedaddy_mp3/status/1362413211644030980
Kevin McKernan,@Kevin_McKernan,2021-02-23T05:32:18.000Z,"Replying to 
@sybersafe66","That’s a bug in netsuite. It thinks you need dry ice.
Just click through it. The shipping should go away.
Sorry about that.",🙂,1,,1,[],https://twitter.com/Kevin_McKernan/status/1364085656226521089
