UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
SoundHound,@SoundHound,2020-01-06T15:13:36.000Z,"Replying to 
@firefire100",Yikes! Thanks for letting us know about this. I will forward this to our team to correct this error.,,1,,,[],https://twitter.com/SoundHound/status/1214203370325598210
SoundHound,@SoundHound,2020-01-20T17:57:53.000Z,"Replying to 
@PlankySmith","Yikes, that's an unfortunate error. We will look into this right away! Thank you for letting us know.",,,,,[],https://twitter.com/SoundHound/status/1219318143816011778
laga,@laganadom,2020-02-05T17:19:17.000Z,"♫Lady Bug di Harris, da #SoundHound https://bnc.lt/Scoe/mTPaT7Xmn3",,,,,,[],https://twitter.com/laganadom/status/1225106633510084609
SoundHound,@SoundHound,2020-02-18T14:56:00.000Z,"Replying to 
@name_inspector","You are correct, Chris. Sounds like a Metadata issue. If possible, could you share the link to ytour discovery with us, so we can take a look? We appreciate it.",,,,,[],https://twitter.com/SoundHound/status/1229781616882356224
Algoritmo_Isómorfico(NoLoSoy),@yonolosoy,2020-02-17T01:38:26.000Z,"#BananaSplit #Reactortolos #Reactor103Mazatlan — ♫Bettle Bug Bop por The Collins Kids, de #SoundHound","Bettle Bug Bop
♫ by The Collins Kids, discovered with SoundHound
bnc.lt",,,,,['https://pbs.twimg.com/card_img/1356951971673108481/uZQc5Cds?format=jpg&name=small'],https://twitter.com/yonolosoy/status/1229218516605128704
Chris,@name_inspector,2020-02-17T00:02:04.000Z,"I think you have a little database error, 
@SoundHound
.",,,2,,,[],https://twitter.com/name_inspector/status/1229194262413078534
kim태태,@kimvtger,2020-02-25T20:19:08.000Z,"Replying to 
@SoundHound","hello it is me again

thank you fast respond! album is now available but there is a minor issue about youtube matching, can you fix that please? the correct one is at right:",,1,,1,"['https://pbs.twimg.com/media/ERpca8eXkAInoFU?format=png&name=360x360', 'https://pbs.twimg.com/media/ERpcepqXkAAguKj?format=jpg&name=small']",https://twitter.com/kimvtger/status/1232399652537892864
Grace,@3c4r6,2020-02-25T04:49:35.000Z,"Replying to 
@SoundHound","after uninstalling and reinstalling, I'm not getting the error message anymore but it's still not functioning normally either. it just always says searching and never gives me any results/tells me there are no results found ",,1,,,[],https://twitter.com/3c4r6/status/1232165724044615680
SoundHound,@SoundHound,2020-02-24T15:14:47.000Z,"Replying to 
@3c4r6","Yikes! Please try reinstalling the app, and let us know if that resolves the issue.",,2,,1,[],https://twitter.com/SoundHound/status/1231960670582779907
Grace,@3c4r6,2020-02-24T07:01:35.000Z,"@SoundHound
 has always been my favorite app for searching for track title/info for songs i encounter in the wild, but since the latest update it hasn't worked. it just always says there was an error ",,😮,1,,,[],https://twitter.com/3c4r6/status/1231836553862959104
SoundHound,@SoundHound,2020-02-24T02:59:01.000Z,"Replying to 
@hazelvizion","Sorry to hear that! Please try reinstalling the app, and let us know if that helps resolve the issue.",,,,,[],https://twitter.com/SoundHound/status/1231775511526940672
Kevin Pacheco,@kevinpacheco,2020-02-21T13:18:37.000Z,"@SoundHound
 — SoundHound 9.3 on iPad (Air 2, OS 13.3.1) appears to have an issue with not picking up sound unless it's *much* louder than needs to be. Mic is fine, as are all other apps that use it—Shazam OK; shoot video, play back, audio sounds good.",,,1,,,[],https://twitter.com/kevinpacheco/status/1230844274897571840
Gerardo Valencia,@Unicalter,2020-03-04T22:32:52.000Z,"♫A New Error by Moderat, from #SoundHound","A New Error
♫ by Moderat, discovered with SoundHound
bnc.lt",,,,,[],https://twitter.com/Unicalter/status/1235332411573129218
SoundHound,@SoundHound,2020-03-19T22:08:41.000Z,"Replying to 
@Tonamel","Our apologies, this is a bug with the new update that we are aware of, and our devs are working to correct. We appreciate your patience in this matter.",,,,,[],https://twitter.com/SoundHound/status/1240762141248032768
SoundHound,@SoundHound,2020-03-19T17:00:15.000Z,"Replying to 
@jurgostuff",Our team will correct the issue asap.,,2,,1,[],https://twitter.com/SoundHound/status/1240684520619282437
SoundHound,@SoundHound,2020-03-27T15:42:33.000Z,"Replying to 
@suchconor","This is a bug that is being corrected with the next update, coming in a few days. We apologize for the inconvenience and appreciate your patience in this matter.",,1,,1,[],https://twitter.com/SoundHound/status/1243564070952984577
