UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
The Appademic,@_appademic,2021-01-02T02:20:13.000Z,"Replying to 
@Taxyovio","Thanks for your concern, the post is actually from 3 years ago, it was tweeted via a Zapier Bug",,1,,,[],https://twitter.com/_appademic/status/1345193145592500225
Michael Rouveure,@MichaelRouveure,2021-01-04T17:58:29.000Z,"No-code error rate? 
@earnestcapital
 , in Dec 2020, we fired 4500 zaps (
@zapier
 ) based off 
@airtable
 . Only 9 errors, that's a 0.2% error rate. I'd say that is not bad. My 2021 resolution, get it to 0%!",,,2,,2,[],https://twitter.com/MichaelRouveure/status/1346154044096610306
三点リーダ愛好者…(みうら かずひと),@kazuhito_m,2021-01-04T16:13:07.000Z,"Zapierの連携でだいぶ昔から「動かなくなっているヤツ
」があったから、動かそうとして…「メールまわり整えたのにアカンなぁ」と思ったら…これか？

» 「Server Error (It seems like there’s a problem…)」エラーでSlackが見れない・開けない・ログインできない障害発生中","【Slack】「Server Error (It seems like there's a problem...)」エラーでSlackが見れない・開けない・ログインできない障害発生中
2021年1月5日0時現在、「Slack（スラック）」にアクセスしようとしても「Server Error It seems like there’s a problem connecting to our servers
did2memo.net",,1,,,[],https://twitter.com/kazuhito_m/status/1346127530709766145
Christopher Peters,@statwonk,2021-01-04T14:54:42.000Z,"Replying to 
@statwonk
 @koynoyno
 and 
@zapier","@koynoyno
 do you happen to have a url or way I can reproduce the issue? If so it'll aid debugging.",😷,1,,,[],https://twitter.com/statwonk/status/1346107794408296448
Ben Sterne,@bensterne,2021-01-04T01:13:39.000Z,"The issue is Zapier premium apps like webhooks require a premium plan. So I could set it up but would be $18 a month. Next.

Then I tried to do a webhook to airtable. This would have been free but required me sharing my API key to my airtable account exposing customer data.",,📟,1,,1,[],https://twitter.com/bensterne/status/1345901171882430464
Christopher Peters,@statwonk,2021-01-05T19:35:06.000Z,"Replying to 
@koynoyno
 and 
@zapier","This was really helpful. Being able to repro the issue let us quickly diagnose and schedule it for bug squashing. Thank you! In the meantime, a workaround is waiting a few seconds before hitting the 'Make a Zap' bttn. That allows some code to load and do work. Pardon the dust. ",😷 😅,1,,1,[],https://twitter.com/statwonk/status/1346540747588251651
Zapier,@zapier,2021-01-06T17:43:52.000Z,"Replying to 
@mbommarius","Hello, thanks for reaching out! We would love to continue to help with this issue but please reach out to us at: http://ow.ly/s4EY50Bu7b3 or you can ask your question in our community: http://ow.ly/H14K50Bu73V. We don't offer support on our social channels right now. Thank you!",,,,,['https://pbs.twimg.com/card_img/1365276512426016769/MWbX3JHp?format=png&name=360x360'],https://twitter.com/zapier/status/1346875142689812481
Marvin Bommarius,@mbommarius,2021-01-06T12:06:18.000Z,"@zapier
 i got some issues making a github zap since i can't edit my github user. When i try to add a new user it just adds it - seems like a bug?",,,1,,1,[],https://twitter.com/mbommarius/status/1346790193014190081
Felix is sharing Clubhouse Invite Pay-It Forward,@Felix_Josemon,2021-01-07T08:27:04.000Z,"@buymeacoffee
 seems a bug with og image, do check? it's from zapier share link.",,,1,,,[],https://twitter.com/Felix_Josemon/status/1347097406505168897
Illumehire,@illumehire,2021-01-08T01:41:38.000Z,"""Basically, I’ve had a thousand jobs. And that’s a feature not a bug. Organizations worth your time will understand that. I was able to bring something from every job I had to the next job, even if it was that I never wanted to do that other thing again."" 
@zapier
 @FastCompany","Quote Tweet
topsixtyoversixty
@Top60Over60
 · Jan 6
Ageism deprives companies of needed perspective and the tools and staff they need to innovate. http://ow.ly/Mqm450D15Ug",,,,,['https://pbs.twimg.com/profile_images/850413741074243584/7DPv0A_9_mini.jpg'],https://twitter.com/illumehire/status/1347357766298451969
Daniel and 10 others,@techwraith,2021-01-09T17:02:44.000Z,"Replying to 
@Suhail","We shipped:
- Zapier integration
- Slack integration
- Signature removal and general textual data cleanup
- bug fixes and performance improvements",,,,,[],https://twitter.com/techwraith/status/1347951954320781314
"｢ Seventh
Ascendance ｣",@AuroreJager,2021-01-09T05:07:07.000Z,"Okay so
I have yet to figure out how to turn on auto-mode for Zapier. That's the issue, not Zapier stalling... right?",,⚜,1,,,[],https://twitter.com/AuroreJager/status/1347771862277738496
Litmus,@litmusapp,2021-01-11T15:47:03.000Z,"""Our goal was to introduce a process that gives clear guidance on what to do and what to check for before hitting send."" Discover how Litmus enables Zapier to send error-free emails at scale: https://bit.ly/3kFjwQJ #LitmusFirst #EmailFirst",,,,,1,['https://pbs.twimg.com/media/ErdlA67XUAgYdg5?format=jpg&name=small'],https://twitter.com/litmusapp/status/1348657685449895941
Saurabh chauhan,@RamslamOO7,2021-01-11T07:49:08.000Z,"Hey 
@zapier
, one of the links on the APP ""successfully submitted for review"" page is showing a 404 error.

URL: https://developer.zapier.com/platform/partner-program…

Screenshot attached! You can add me to your bug bounty program... hahaha. #mondaythoughts",,,,,,['https://pbs.twimg.com/media/Erb2sA_VcAIuE4Y?format=jpg&name=small'],https://twitter.com/RamslamOO7/status/1348537410829733889
Naya Moss,@bossnayamoss,2021-01-11T00:29:29.000Z,"Automation Flow:

New event, newsletter issue, etc >

Check box if should be added to Webflow Links Table >

Airtable automation creates link name, link, & slug in the Webflow Links Table>

Zapier recognizes new record & creates a live item in the ""Links"" collection",,🤖,3,,3,['https://pbs.twimg.com/media/EraQxEFXUAM9OCx?format=jpg&name=small'],https://twitter.com/bossnayamoss/status/1348426769758629888
Rebecca Dessonville,@RebeccaOutloud,2021-01-12T22:51:56.000Z,"Wanted to create a way to put specific 
@intercom
 conversations in 
@gitlab
.

Intercom assign to Custom Team pushes to 
@SlackHQ
 specific channel then 
@zapier
 filters and creates a Gitlab issue in a bucket project.

Easy, right?",GIF,,1,,,[],https://twitter.com/RebeccaOutloud/status/1349126998896029700
