UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Undock,@undockhq,2021-03-04T21:23:49.000Z,"Replying to 
@KaraSkrip
 @Natalie_Furn
 and 24 others","We like that we're in this tech stack thread. 

Women in tech rule.",⚡,,1,2,[],https://twitter.com/undockhq/status/1367586603057770505
Stephen Campbell,@stepocampbell_,2021-03-04T20:22:09.000Z,"Replying to 
@Natalie_Furn
 @zapier
 and 5 others","Thanks 
@markbowley
 & 
@Prem_Hirubalan
 

@bubble
 consultation 
@softr_io
 web app 
@dorik_io
 personal site",,,,6,[],https://twitter.com/stepocampbell_/status/1367571084074225669
Undock,@undockhq,2021-03-04T20:06:47.000Z,"Replying to 
@KaraSkrip
 @ColleenMBrady
 and 21 others","In great company, thank you.

The most powerful scheduling on earth ... 

The calendar that schedules, hosts, and documents your meetings. ",⚡ ⚡,,1,,[],https://twitter.com/undockhq/status/1367567218960179209
Alex Cavalieri,@AlCavalieri,2021-03-04T15:30:32.000Z,"Zapier really is the best thing ever, eh.",,,,,1,[],https://twitter.com/AlCavalieri/status/1367497696043556870
1v1Me Alex,@AlexEmmanuel,2021-03-04T15:14:42.000Z,"Replying to 
@notalexlin"," @zapier
 is a prime example of this; only raised one round of funding but is loved by millions",💯,,,1,['https://pbs.twimg.com/card_img/1367493563127324672/1UMGdkTM?format=jpg&name=small'],https://twitter.com/AlexEmmanuel/status/1367493713392459784
Alex Reibman,@AlexReibman,2021-03-04T14:44:38.000Z,"Replying to 
@ajwaxman
 and 
@DescriptApp","Great product for summarizing meetings also.

1. Upload audio/video file to Descript
2. Label speakers (~2 min tops)
3. Export as Word doc
4. Email out the transcript to participants 

Most of this can be automated with Zapier",,,,1,[],https://twitter.com/AlexReibman/status/1367486144653512712
Jonathan Baillie Strong,@jonbstrong,2021-03-04T14:06:41.000Z,"Replying to 
@KieranMcKeef
 @MrAsquith
 and 2 others","YES!!!! 

I don't use Zapier, but Pabbly Connect instead - that uses webhooks",🟣,1,,,[],https://twitter.com/jonbstrong/status/1367476596999921667
,@ashbysutherland,2021-03-04T00:52:18.000Z,"Replying to 
@michlimlim","you definitely don’t need to be a jerk to build an innovative company. stripe, box, dropbox, zapier, shopify, and many many others are counter-narratives",⛷,,,,[],https://twitter.com/ashbysutherland/status/1367276680356769793
Knowify,@knowify,2021-03-03T22:03:42.000Z," Learn how to use 
@Zapier
 to send a text message via 
@twilio
 when you create a new task in Knowify.
https://youtu.be/E7RQpJ1sZa0

#construction #automation","Sending a text message from Knowify via Twilio | Zapier series
This video shows how to use Zapier to send a text message via Twilio when you create a new task in Knowify.Twilio is a cloud communications platform that all...
youtube.com",📲,,,2,['https://pbs.twimg.com/card_img/1367233914524356615/hrHf2KTv?format=jpg&name=240x240'],https://twitter.com/knowify/status/1367234253398884355
No Code Sports League,@nocodesports,2021-03-02T15:54:03.000Z,"Replying to 
@bubble
 @zapier
 and 
@ProductHunt","We used it to connect 
@bubble
 to #blockchain very easily!",,1,3,3,"['https://pbs.twimg.com/profile_images/1346093115451584515/uZfqeCIn_mini.jpg', 'https://pbs.twimg.com/media/EvZiu_FWQAcF1mt?format=jpg&name=small']",https://twitter.com/nocodesports/status/1366778837758017537
StatusGator,@statusgator,2021-03-02T12:25:45.000Z,"@zapier
 The problem with your status page persists. 
@zapierstatus
 Is your CDN misconfigured?",,,1,,,[],https://twitter.com/statusgator/status/1366726417707319296
StatusGator,@statusgator,2021-03-02T01:00:50.000Z,"@zapier
 Is your status page down? I get this message:

> Your IP address 64.252.68.2 has been flagged as a scanner.

But that's not my IP address.",,,1,,,[],https://twitter.com/statusgator/status/1366554055804338176
Afterpattern,@Afterpattern,2021-03-01T23:17:02.000Z,"Replying to 
@rightbrainlaw
 and 
@zapier",You can send data from online forms you build on Afterpattern directly to Zapier:,✋,1,,2,[],https://twitter.com/Afterpattern/status/1366527933662310406
Starter Story,@starter_story,2021-03-01T18:45:01.000Z,"How 
@tickettailor
 runs their online business:

- 
@BingAds
- @TwitterAdsHelp
- @gsuite
- 
@asana
- 
@stripe
- 
@TransferWise
- 
@zapier
- 
@NotionHQ
- 
@intercom
- 
@typeform
- 
@ahrefs
- 
@Cloudflare
- 
@github
- 
@chargebee
- 
@hotjar
- 
@zoom_us","How I Started a $150K/Month Ticketing Platform That Sells More Than 5 Million Tickets A Year...
Hey, I’m Jonny, the founder, and CEO of Ticket Tailor. We make it easy and affordable for event creators to sell tickets online. We’ve been growing steadily for ten years and today our platform...
starterstory.com",,,,2,['https://pbs.twimg.com/card_img/1366489894718238723/hrpIPaZC?format=jpg&name=small'],https://twitter.com/starter_story/status/1366459475360628739
Houman Shadab,@HoumanShadab,2021-03-01T15:22:57.000Z,"Replying to 
@GTeninbaum
 @zapier
 and 2 others","To be sure! There are usually many ways do things even without writing code, and often better and worse ways.",,,,1,[],https://twitter.com/HoumanShadab/status/1366408624956977157
No Code Sports League,@nocodesports,2021-02-26T13:52:29.000Z,"Being able to connect 
@bubble
 to the 1000s of apps available on 
@zapier
 can be the difference between winning and losing in the No Code Sports League. Check out this tutorial to stay out of the losers column 
#nocode","Quote Tweet
Bryce Vernon
@BAVernon
 · Feb 17
Helpful links:
 
Bubble Integration Page on Zapier: https://zapier.com/apps/bubble/integrations…
Bubble documentation: https://manual.bubble.io/bubble-made-plugins/zapier…
This tutorial in blog post form: https://brycevernon.com/how-to-integrate-zapier-and-bubble/…
Show this thread",😉,,3,2,['https://pbs.twimg.com/profile_images/1250397803282644992/aQoZN7tb_mini.jpg'],https://twitter.com/nocodesports/status/1365298694627733506
Houman Shadab,@HoumanShadab,2021-02-26T00:21:00.000Z,"Replying to 
@TomaOfficer
 @bubble
 and 3 others","In addition to Bubble docs, check out 
https://zapier.com/apps/bubble/integrations…
https://zapier.com/apps/xooa/integrations…  

See also my Bubble editor: https://bubble.io/page?name=index&id=nocodeblockchain&tab=tabs-1…

and my Zap: https://zapier.com/shared/84250526c6b173f4607ca919941e968df5c3ba49…",,,,3,[],https://twitter.com/HoumanShadab/status/1365094477866631170
KVNLVN,@kevynlevine,2021-02-25T23:18:14.000Z,"Replying to 
@NigelGodfrey
 @trello
 and 
@zapier","At work (when we used to hire people) the manager in need would fill out Google survey and inputs would create a card in 
@trello
 and we’d track hire process there. Seamless and easy!",,1,,1,[],https://twitter.com/kevynlevine/status/1365078683871039500
Houman Shadab,@HoumanShadab,2021-02-25T22:59:35.000Z,"Replying to 
@LeConcurrential
 @bubble
 and 3 others",Nothing at the moment but perhaps.,,,,1,[],https://twitter.com/HoumanShadab/status/1365073987856863239
Thomas F. Officer,@TomaOfficer,2021-02-25T20:07:33.000Z,"Replying to 
@HoumanShadab
 @bubble
 and 3 others","This is very cool.

Would love to learn to build this myself (and hopefully finally ground blockchains in my reality with a practical purpose). Any resources you can point me to would be 
  

Thanks!",👌,1,,2,[],https://twitter.com/TomaOfficer/status/1365030695903649793
