UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Rebecca Fishbein,@bfishbfish,2021-03-03T23:58:06.000Z,"Just spotted a very strange-looking bug in my apartment and spent 15 minutes chatting with it, if you want to know how my evening's going",,,4,2,46,[],https://twitter.com/bfishbfish/status/1367263042258546694
ken crichlow,@ken_crichlow,2021-03-03T23:57:09.000Z,"iPhone 12 Series Users Are Complaining About Frequent Signal Drop Issue on Verizon, AT&T, T-Mobile | Technology News","iPhone 12 Users Report of Signal Drop Issue on Various Networks
It seems that the issue is particularly significant when a user is travelling or driving.
gadgets.ndtv.com",,,,,['https://pbs.twimg.com/card_img/1366526411624898564/yY6a1_TJ?format=jpg&name=small'],https://twitter.com/ken_crichlow/status/1367262804483452931
Swordfish.ai,@swordfish_ai,2021-03-03T23:55:03.000Z,"Contact Finder™ - Email + Cell Phone Search Tools - Issue #119

https://issuu.com/contactfindingtools/docs/issue119-customer-journey-marketing-strategies-to-…

#Swordfish #CustomerJourney #CustomerJourneyMarketing #MarketingStrategy #Prospect #Prospecting #ProspectingMethods #Sales #SalesProspect #SalesProspecting #SalesProspects #ContactFinder",,,,,,['https://pbs.twimg.com/media/Evl9ysiWgAMk4Rz?format=jpg&name=small'],https://twitter.com/swordfish_ai/status/1367262276038914051
WondaMike,@wonda_mike,2021-03-03T23:47:54.000Z,Mama Africa (Re - Issue) https://music-bazaar.com/world-music/album/445460/Mama-Africa-Re-Issue/?tkx=avgq-qh5ds-1m5abue…,,,,,,[],https://twitter.com/wonda_mike/status/1367260473683562496
"A.M.MO, The Lowest of the Low.",@fromAMMO,2021-03-03T23:47:38.000Z,My take on the Dr. Seuss thing because I’m sure the world was chomping at the bit for Anthony (man of nearly 500 followers) to weigh in on the issue.,,,1,,3,['https://pbs.twimg.com/media/Evl8GInXEAESbgR?format=jpg&name=small'],https://twitter.com/fromAMMO/status/1367260409863012353
Be-Vlogs-Be,@bevlogsbe,2021-03-03T23:45:03.000Z,"Sexual harassment isn’t a right or left issue, it’s a man in power not feeling they have to be decent toward people issue (yes women can sexually harass people) #rape #sexualharrassment #NoMeansNo",,,,,,[],https://twitter.com/bevlogsbe/status/1367259757019561994
bug!,@gainingbug,2021-03-03T23:25:37.000Z,"so i very recently moved in with my bf and my food budget has been... well, not a budget at all, really. i just keep buying stuff, lol. i have been the one cooking for us and i def wanna find some recipes for fattening stuff, wonder if theres any good site/blog i should know?",,,1,,14,[],https://twitter.com/gainingbug/status/1367254866490511364
libbyliberal,@libbyliberalnyc,2021-03-03T23:25:37.000Z,Crosse:”the failure of the FBI to issue an official threat assessment prior to January 6 is an extraordinary omission that raises many questions.”,,,,1,1,[],https://twitter.com/libbyliberalnyc/status/1367254866192699397
Thee Gemini,@CoyOverton_,2021-03-03T23:24:41.000Z,I seriously don’t get why focusing on me is such an issue !?,,,1,,1,[],https://twitter.com/CoyOverton_/status/1367254634444840960
Kaley Roshitsh,@fashionkales,2021-03-03T23:23:03.000Z,"It would likely take months before a decision is reached to issue a withhold release order (WRO) as it has with past trade cases within textiles, including cotton from Xinjiang — the point is, more 
 than ever are on fast-fashion.

https://wwd.com/sustainability/business/boohoo-us-customs-forced-labor-claims-questioning-fashion-1234762796/#utm_medium=social&utm_source=twitter&utm_campaign=social_bar&utm_term=wwd.1614809751485.c810a637-ba6b-4df8-9936-2dc59a50adee&utm_content=top&utm_id=1234762796… via 
@wwd","Why Boohoo ‘Forced Labor’ Suspicions Beg Broader Questioning
Boohoo, Leicester apparel-makers under initial investigation by U.S. Customs. What happens next could bring accountability to fashion.
wwd.com",👁,,,4,['https://pbs.twimg.com/card_img/1367245543076945920/mOQ6clJ7?format=png&name=small'],https://twitter.com/fashionkales/status/1367254223851773953
Yaw Asiedu,@YawAsiedu_,2021-03-03T23:21:38.000Z,I went to Trader Joe’s Sunday I spent around $70. Today is Wednesday and I’m out of food. What is my issue?,,,,,2,[],https://twitter.com/YawAsiedu_/status/1367253866341928962
Big Bellied Bandit,@Khaleel,2021-03-03T23:21:20.000Z,"I don’t see the issue, cause Koffee looked rahtid good inna her shot, and it *seems* to fit right within her style. Like, she looked GOOD good.",,,5,,19,[],https://twitter.com/Khaleel/status/1367253790475382785
M.J. Rico,@MichaelJRico,2021-03-03T23:20:34.000Z,"The Rockets told Harden they weren't moving him until he pushed the issue. James also turned down a record 2 year 106 million deal before he left. 
@Rosenbergradio",,,,,,[],https://twitter.com/MichaelJRico/status/1367253597394792448
EDF Health,@EDFHealth,2021-03-03T23:18:35.000Z,"Year after year, reports have shown that heavy metals are a persistent problem in food. It's unacceptable that FDA has still failed to act on this critical issue.","Parents Erupt Over FDA Failure To Regulate Toxic Metals in Food
Lead, arsenic and cadmium are commonly found in baby foods, but also in many of the ingredients families use to make their own.
politico.com",,,2,,['https://pbs.twimg.com/card_img/1365995804071104515/aw_Au1Kp?format=jpg&name=small'],https://twitter.com/EDFHealth/status/1367253099220365319
Greg Kahn #GKDV,@GK_Ventures,2021-03-03T23:18:14.000Z,Facial recognition tech & video monitoring will become a hotly debated issue for years to come.,"Senators question Amazon about using cameras to monitor delivery drivers
The senators said the AI-equipped cameras from Netradyne raise privacy and surveillance concerns.
cnbc.com",,,,1,['https://pbs.twimg.com/card_img/1366509125312663554/9JAcYUcV?format=jpg&name=small'],https://twitter.com/GK_Ventures/status/1367253008850051078
Megan Carolan,@MeganCarolan,2021-03-03T23:17:17.000Z,"Thanks to all who engaged on this. Rite Aid called & worked to find a viable solution for our family - I am grateful.

It seems we got caught in a bug in their reg system early on - inputting my MIL's info now, it says she is not eligible. Relieved others will not go through this","Quote Tweet
Megan Carolan
@MeganCarolan
 · Mar 3
Spoke with the pharmacist at the location. He informed me that at RETAIL PHARMACIES in NYC, you must be 65+ AND have a qualifying condition.

This is not the rule for NYC or NYS run sites, and it is NOWHERE in two confirming emails @riteaid sent twitter.com/MeganCarolan/s…
Show this thread",,1,,3,['https://pbs.twimg.com/profile_images/959438493352153088/KGG-davy_mini.jpg'],https://twitter.com/MeganCarolan/status/1367252769963446275
